Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
			LoadSeqP:1		Real	'- DSC::Load_OfLoad'
			LoadSeqQ		Real	'0 DSC::Load_OfLoad'
			LoadSeqQ:1		Real	'- DSC::Load_OfLoad'
		**	LoadSMVR	SMvar	Real	'Constant power portion of the Mvar load'
		**	LoadSMW	SMW	Real	'Constant power portion of the MW load'
		**	LoadStatus	Status	String	'Status of load (Open or Closed)'
			LoadZMVR	ZMvar	Real	'Constant impedance portion of the Mvar load.  The actual Mvar seen by the system will be this value multiplied by the square of the per unit voltage magnitude of the terminal bus'
			LoadZMW	ZMW	Real	'Constant impedance portion of the MW load.  The actual MW seen by the system will be this value multiplied by the square of the per unit voltage magnitude of the terminal bus'
			Longitude		Real	'For the terminal bus, this is the Geographic Longitude in decimal degrees.  Note: negative values represent the western hemisphere'
			Longitude:1		Real	'Geographic Longitude of the substation in decimal degrees.  Note: negative values represent the western hemisphere'
			LongitudeString		String	'For the terminal bus, this is the Geographic Longitude using a string of the form DDD:MM:SS followed by a E for east or W for west'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
		<	ObjectMemo		String	'One custom memo may also be specified for each object.  This respresents multiple lines of text and can be seen on many dialogs'
			OPFOperatingResourceMax		Real	'Maximum Regulating MW'
			OPFOperatingResourceMin		Real	'Minimum Regulating MW'
			OPFReserveAvailable		String	'Specify YES to make available to provide regulating reserves to its Load'
			OPFReserveAvailable:1		String	'Specify YES to make available to provide contingency reserves to its Load'
			OPFReserveAvailable:2		String	'Specify YES to make available to provide supplemental reserves to its Load'
			OPFReserveMaxDown		Real	'Maximum amount of MW decrease that can be provided for regulating reserves to its Load'
			OPFReserveMaxUp		Real	'Maximum amount of MW increase that can be provided for regulating reserves to its Load'
			OPFReserveMaxUp:1		Real	'Maximum amount of MW increase that can be provided for spinning reserves to its Load'
			OPFReserveMaxUp:2		Real	'Maximum amount of MW increase that can be provided for supplemental reserves to its Load'
			OPFReserveMWDown		Real	'Actual amount of MW decrease that can be provided for regulating reserves to its Load'
			OPFReserveMWUp		Real	'Actual amount of MW increase that can be provided for regulating reserves to its Load'
			OPFReserveMWUp:1		Real	'Actual amount of MW increase that can be provided for spinning reserves to its Load'
			OPFReserveMWUp:2		Real	'Actual amount of MW increase that can be provided for supplemental reserves to its Load'
			OPFReservePrice		Real	'Price generator submits to provide regulating reserves to its Load'
			OPFReservePrice:1		Real	'Price generator submits to provide spinning reserves to its Load'
			OPFReservePrice:2		Real	'Price generator submits to provide supplemental reserves to its Load'
			OwnerName		String	'Owner Name'
			OwnerNum		Integer	'Owner Number'
			PowerFactor		Real	'Power factor of the load'
			SAName		String	'It is possible for the terminal bus to belong to a different super area than the device belongs.  This is the super area name of the Load'
			SAName:1		String	'It is possible for the terminal bus to belong to a different super area than the device belongs.  This is the super area name of the bus'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SubID		String	'Substation ID string.  This is just an extra identification string that may be different than the name of the bus'
			SubName		String	'Substation Name of the bus'
			SubNum		Integer	'Substation Number of the bus'
			TimeDomainSelected		String	'Time Selected'
			TSDistributionEquivalentOther:1		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  1'
			TSDistributionEquivalentOther:2		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  2'
			TSDistributionEquivalentOther:3		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  3'
			TSDistributionEquivalentOther:4		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  4'
			TSDistributionEquivalentOther:5		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  5'
			TSDistributionEquivalentOther:6		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  6'
			TSDistributionEquivalentOther:7		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  7'
			TSDistributionEquivalentOther:8		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  8'
			TSDistributionEquivalentOther:9		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other  9'
			TSDistributionEquivalentOther:10		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other 10'
			TSDistributionEquivalentOther:11		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other 11'
			TSDistributionEquivalentOther:12		Real	'Transient Stability\Results\Other Fields of Distribution Equivalent\Other 12'
			TSLoadIDeg		Real	'Transient Stability\Results\Load Current Angle'
			TSLoadIPU		Real	'Transient Stability\Results\Load Current (pu)'
			TSLoadOther:1		Real	'Transient Stability\Results\Other Fields of Load\Other  1'
			TSLoadOther:2		Real	'Transient Stability\Results\Other Fields of Load\Other  2'
			TSLoadOther:3		Real	'Transient Stability\Results\Other Fields of Load\Other  3'
			TSLoadOther:4		Real	'Transient Stability\Results\Other Fields of Load\Other  4'
			TSLoadOther:5		Real	'Transient Stability\Results\Other Fields of Load\Other  5'
			TSLoadOther:6		Real	'Transient Stability\Results\Other Fields of Load\Other  6'
			TSLoadOther:7		Real	'Transient Stability\Results\Other Fields of Load\Other  7'
			TSLoadOther:8		Real	'Transient Stability\Results\Other Fields of Load\Other  8'
			TSLoadOther:9		Real	'Transient Stability\Results\Other Fields of Load\Other  9'
			TSLoadOther:10		Real	'Transient Stability\Results\Other Fields of Load\Other 10'
			TSLoadOther:11		Real	'Transient Stability\Results\Other Fields of Load\Other 11'
			TSLoadOther:12		Real	'Transient Stability\Results\Other Fields of Load\Other 12'
			TSLoadOther:13		Real	'Transient Stability\Results\Other Fields of Load\Other 13'
			TSLoadOther:14		Real	'Transient Stability\Results\Other Fields of Load\Other 14'
			TSLoadOther:15		Real	'Transient Stability\Results\Other Fields of Load\Other 15'
			TSLoadOther:16		Real	'Transient Stability\Results\Other Fields of Load\Other 16'
			TSLoadOther:17		Real	'Transient Stability\Results\Other Fields of Load\Other 17'
			TSLoadOther:18		Real	'Transient Stability\Results\Other Fields of Load\Other 18'
			TSLoadOther:19		Real	'Transient Stability\Results\Other Fields of Load\Other 19'
			TSLoadOther:20		Real	'Transient Stability\Results\Other Fields of Load\Other 20'
			TSLoadOther:21		Real	'Transient Stability\Results\Other Fields of Load\Other 21'
			TSLoadOther:22		Real	'Transient Stability\Results\Other Fields of Load\Other 22'
			TSLoadOther:23		Real	'Transient Stability\Results\Other Fields of Load\Other 23'
			TSLoadOther:24		Real	'Transient Stability\Results\Other Fields of Load\Other 24'
			TSLoadOther:25		Real	'Transient Stability\Results\Other Fields of Load\Other 25'
			TSLoadOther:26		Real	'Transient Stability\Results\Other Fields of Load\Other 26'
			TSLoadOther:27		Real	'Transient Stability\Results\Other Fields of Load\Other 27'
			TSLoadOther:28		Real	'Transient Stability\Results\Other Fields of Load\Other 28'
			TSLoadOther:29		Real	'Transient Stability\Results\Other Fields of Load\Other 29'
			TSLoadOther:30		Real	'Transient Stability\Results\Other Fields of Load\Other 30'
			TSLoadOther:31		Real	'Transient Stability\Results\Other Fields of Load\Other 31'
			TSLoadOther:32		Real	'Transient Stability\Results\Other Fields of Load\Other 32'
			TSLoadOther:33		Real	'Transient Stability\Results\Other Fields of Load\Other 33'
			TSLoadOther:34		Real	'Transient Stability\Results\Other Fields of Load\Other 34'
			TSLoadOther:35		Real	'Transient Stability\Results\Other Fields of Load\Other 35'
			TSLoadOther:36		Real	'Transient Stability\Results\Other Fields of Load\Other 36'
			TSLoadP		Real	'Transient Stability\Results\MW Load'
			TSLoadQ		Real	'Transient Stability\Results\Mvar Load'
			TSLoadRelayStates:1		Real	'Transient Stability\Results\States of Load Relay\State  1'
			TSLoadRelayStates:2		Real	'Transient Stability\Results\States of Load Relay\State  2'
			TSLoadRelayStates:3		Real	'Transient Stability\Results\States of Load Relay\State  3'
			TSLoadRelayStates:4		Real	'Transient Stability\Results\States of Load Relay\State  4'
			TSLoadRelayStates:5		Real	'Transient Stability\Results\States of Load Relay\State  5'
			TSLoadRelayStates:6		Real	'Transient Stability\Results\States of Load Relay\State  6'
			TSLoadS		Real	'Transient Stability\Results\MVA Load'
			TSLoadStates:1		Real	'Transient Stability\Results\States of Load\State  1'
			TSLoadStates:2		Real	'Transient Stability\Results\States of Load\State  2'
			TSLoadStates:3		Real	'Transient Stability\Results\States of Load\State  3'
			TSLoadStates:4		Real	'Transient Stability\Results\States of Load\State  4'
			TSLoadStates:5		Real	'Transient Stability\Results\States of Load\State  5'
			TSLoadStates:6		Real	'Transient Stability\Results\States of Load\State  6'
			TSLoadStates:7		Real	'Transient Stability\Results\States of Load\State  7'
			TSLoadStates:8		Real	'Transient Stability\Results\States of Load\State  8'
			TSLoadStates:9		Real	'Transient Stability\Results\States of Load\State  9'
			TSLoadStates:10		Real	'Transient Stability\Results\States of Load\State 10'
			TSLoadStates:11		Real	'Transient Stability\Results\States of Load\State 11'
			TSLoadStates:12		Real	'Transient Stability\Results\States of Load\State 12'
			TSLoadStates:13		Real	'Transient Stability\Results\States of Load\State 13'
			TSLoadStates:14		Real	'Transient Stability\Results\States of Load\State 14'
			TSLoadStates:15		Real	'Transient Stability\Results\States of Load\State 15'
			TSLoadStates:16		Real	'Transient Stability\Results\States of Load\State 16'
			TSLoadStates:17		Real	'Transient Stability\Results\States of Load\State 17'
			TSLoadStates:18		Real	'Transient Stability\Results\States of Load\State 18'
			TSLoadStates:19		Real	'Transient Stability\Results\States of Load\State 19'
			TSLoadStates:20		Real	'Transient Stability\Results\States of Load\State 20'
			TSLoadVDeg		Real	'Transient Stability\Results\Bus Volt Angle (deg)'
			TSLoadVPU		Real	'Transient Stability\Results\Bus Volt (pu)'
			TSModelName		String	'Names of the Load Characteristic types assigned to this load which govern the static behavior of the load'
			TSModelName:1		String	'Names of the Load Characteristic types assigned to this load which govern the motor behavior of the load'
			TSRelayName		String	'Names of the Load Relay types assigned to this load'
			TSSaveAll		String	'Transient Stability\Save\Save All'
			TSSaveBusDeg		String	'Transient Stability\Save\Bus Volt Angle (deg)'
			TSSaveBusLoadIDeg		String	'Transient Stability\Save\Load Current Angle'
			TSSaveBusLoadIPU		String	'Transient Stability\Save\Load Current (pu)'
			TSSaveBusLoadP		String	'Transient Stability\Save\MW Load'
			TSSaveBusLoadQ		String	'Transient Stability\Save\Mvar Load'
			TSSaveBusLoadS		String	'Transient Stability\Save\MVA Load'
			TSSaveBusLoadStates		String	'Transient Stability\Save\States of Load'
			TSSaveBusVPU		String	'Transient Stability\Save\Bus Volt (pu)'
			TSSaveDistributionEquivalentStates		String	'Transient Stability\Save\States of Distribution Equivalent'
			TSSaveLoadRelayStates		String	'Transient Stability\Save\States of Load Relay'
			UTMMGRS		String	'Geographic UTM/MGRS of the bus'
			WTLR		Real	'Sensitivity: WTLR of Bus'
		<	ZoneName		String	'It is possible for the terminal bus to belong to a different zone than the device belongs.  This is the Zone name of the Load'
		<	ZoneName:1		String	'It is possible for the terminal bus to belong to a different zone than the device belongs.  This is the Zone name of the bus'
		<	ZoneNum		Integer	'It is possible for the terminal bus to belong to a different zone than the device belongs.  This is the Zone number of the Load'
		<	ZoneNum:1		Integer	'It is possible for the terminal bus to belong to a different zone than the device belongs.  This is the Zone number of the bus'
LoadBid
		*A*	BusName_NomVolt		String	'Name_Nominal kV of the bus'
		*1*	BusNum		Integer	'Number of the bus'
		**	GenericCostMWh		Real	'$/MWh'
		*3C*	GenericMW		Real	'MW'
		*2B*	LoadID		String	'2 character load identification field.  Used to identify multiple loads at a single bus'
LoadBreakDisconnect			The same fields as for Branch
LoadCharacteristic_BPA_Induction_MotorI
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSA		Real	'Constant of mechanical load speed-torque equation'
			TSB		Real	'Constant of mechanical load speed-torque equation'
			TSBPAMVABase		Real	'MVABaseForData'
			TSDeviceStatus		String	'Device Status'
			TSEMWS		Real	'Kinetic energy in MW-second'
			TSFullSupport		String	'Fully Supported'
			TSPPercent		Real	'Per unit of load MW on bus assigned to induction motor'
			TSRr		Real	'Rotor resistance, per unit'
			TSRs		Real	'Stator resistance, per unit'
			TSSOne		Real	'Modeling with S = 1.0; valid entries are 0,1,2'
			TSSubIntervals		Integer	'Sub-Intervals'
			TSTi		Real	'Time delay for dropping induction motor, seconds'
			TSVi		Real	'Per unit voltage for dropping induction motor (after delay Ti'
			TSXm		Real	'Magnetizing reactance, per unit'
			TSXr		Real	'Rotor reactance, per unit'
			TSXs		Real	'Stator reactance, per unit'
LoadCharacteristic_BPA_Induction_MotorL
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSA		Real	'Constant of mechanical load speed-torque equation'
			TSB		Real	'Constant of mechanical load speed-torque equation'
			TSDeviceStatus		String	'Device Status'
			TSFullSupport		String	'Fully Supported'
			TSKl		Real	'Kl'
			TSPmin		Real	'Pmin'
			TSPPercent		Real	'Per unit of load MW on bus assigned to induction motor'
			TSRr		Real	'Rotor resistance, per unit'
			TSRs		Real	'Stator resistance, per unit'
			TSSlip		Real	'Slip'
			TSSlipSet		Integer	'SlipSet1'
			TSSOne		Real	'Modeling with S = 1.0; valid entries are 0,1,2'
			TSSubIntervals		Integer	'Sub-Intervals'
			TSTi		Real	'Time delay for dropping induction motor, seconds'
			TSTj		Real	'Tj'
			TSVi		Real	'Per unit voltage for dropping induction motor (after delay Ti'
			TSXm		Real	'Magnetizing reactance, per unit'
			TSXr		Real	'Rotor reactance, per unit'
			TSXs		Real	'Stator reactance, per unit'
LoadCharacteristic_BPA_Type_LA
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSDeviceStatus		String	'Device Status'
			TSdPdFreq		Real	'dPdFreq'
			TSdQdFreq		Real	'dQdFreq'
			TSFullSupport		String	'Fully Supported'
			TSP:1		Real	'P1'
			TSP:2		Real	'P2'
			TSP:3		Real	'P3'
			TSP:4		Real	'P4'
			TSQ:1		Real	'Q1'
			TSQ:2		Real	'Q2'
			TSQ:3		Real	'Q3'
			TSQ:4		Real	'Q4'
			TSSubIntervals		Integer	'Sub-Intervals'
LoadCharacteristic_BPA_Type_LB
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSDeviceStatus		String	'Device Status'
			TSdPdFreq		Real	'dPdFreq'
			TSdQdFreq		Real	'dQdFreq'
			TSFullSupport		String	'Fully Supported'
			TSP:1		Real	'P1'
			TSP:2		Real	'P2'
			TSP:3		Real	'P3'
			TSQ:1		Real	'Q1'
			TSQ:2		Real	'Q2'
			TSQ:3		Real	'Q3'
			TSSubIntervals		Integer	'Sub-Intervals'
LoadCharacteristic_CIM5
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSD		Real	'D'
			TSDeviceStatus		String	'Device Status'
			TSE		Real	'E1'
			TSE:1		Real	'E2'
			TSFullSupport		String	'Fully Supported'
			TSH		Real	'H'
			TSIT		Real	'IT'
			TSMbase		Real	'Mbase'
			TSPmult		Real	'Pmult'
			TSR:1		Real	'R1'
			TSR:2		Real	'R2'
			TSRa		Real	'Ra'
			TSSE		Real	'SE1'
			TSSE:1		Real	'SE2'
			TSSubIntervals		Integer	'Sub-Intervals'
			TSTb		Real	'Breaker delay for tripping, cycles'
			TSTi		Real	'Time needed for voltage to remain below Vi for dropping induction motor, cycles'
			TSTnom		Real	'Tnom'
			TSVi		Real	'Per unit voltage for dropping induction motor'
			TSX:1		Real	'X1'
			TSX:2		Real	'X2'
			TSXa		Real	'Xa'
			TSXm		Real	'Xm'
LoadCharacteristic_CIM6
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSA		Real	'A'
			TSB		Real	'B'
			TSC		Real	'C0'
			TSD		Real	'D'
			TSDeviceStatus		String	'Device Status'
			TSE		Real	'E1'
			TSE:1		Real	'E2'
			TSFullSupport		String	'Fully Supported'
			TSH		Real	'H'
			TSIT		Real	'IT'
			TSMbase		Real	'Mbase'
			TSPmult		Real	'Pmult'
			TSR:1		Real	'R1'
			TSR:2		Real	'R2'
			TSRa		Real	'Ra'
			TSSE		Real	'SE1'
			TSSE:1		Real	'SE2'
			TSSubIntervals		Integer	'Sub-Intervals'
			TSTb		Real	'Breaker delay for tripping, cycles'
			TSTi		Real	'Time needed for voltage to remain below Vi for dropping induction motor, cycles'
			TSTnom		Real	'Tnom'
			TSVi		Real	'Per unit voltage for dropping induction motor'
			TSX:1		Real	'X1'
			TSX:2		Real	'X2'
			TSXa		Real	'Xa'
			TSXm		Real	'Xm'
LoadCharacteristic_CIMW
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSA		Real	'A'
			TSB		Real	'B'
			TSD		Real	'D'
			TSDeviceStatus		String	'Device Status'
			TSE		Real	'E1'
			TSE:1		Real	'E2'
			TSFullSupport		String	'Fully Supported'
			TSH		Real	'H'
			TSIT		Real	'IT'
			TSMbase		Real	'Mbase'
			TSPmult		Real	'Pmult'
			TSR:1		Real	'R1'
			TSR:2		Real	'R2'
			TSRa		Real	'Ra'
			TSSE		Real	'SE1'
			TSSE:1		Real	'SE2'
			TSSubIntervals		Integer	'Sub-Intervals'
			TSTb		Real	'Breaker delay for tripping, cycles'
			TSTi		Real	'Time needed for voltage to remain below Vi for dropping induction motor, cycles'
			TSVi		Real	'Per unit voltage for dropping induction motor'
			TSX:1		Real	'X1'
			TSX:2		Real	'X2'
			TSXa		Real	'Xa'
			TSXm		Real	'Xm'
LoadCharacteristic_CLOD
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSDeviceStatus		String	'Device Status'
			TSDis		Real	'PercDis'
			TSFullSupport		String	'Fully Supported'
			TSKp		Real	'Kp'
			TSLmotor		Real	'PercLmotor'
			TSP		Real	'PercP'
			TSR		Real	'BranchR'
			TSSmotor		Real	'PercSmotor'
			TSSubIntervals		Integer	'Sub-Intervals'
			TSTb		Real	'Breaker delay for tripping, cycles'
			TSTex		Real	'PercTex'
			TSTi		Real	'Time needed for voltage to remain below Vi for dropping large or small induction motors, cycles'
			TSVi		Real	'Per unit voltage for dropping large or small induction motors'
			TSX		Real	'BranchX'
LoadCharacteristic_CMPLDW
			AllLabels		String	'Labels (All)'
			BusName		String	'Name'
		*B*	BusName_NomVolt		String	'Name_Nominal kV'
		*2*	BusNum		Integer	'Number'
			Label		String	'Label'
			LineR		Real	'Rfdr: Feeder equivalent resistance, p.u.'
			LineTap		Real	'LTC: 1 for automatic tap adjustment (low side variable tap)'
			LineX		Real	'Xfdr: Feeder equivalent reactance, p.u.'
			LineX:1		Real	'Xxf: Substation transformer reactance, p.u.'
		*3C*	LoadID		String	'ID'
			LoadMVR		Real	'Mvar'
			LoadMW		Real	'MW'
		*1A*	ObjectType		String	'Element Type'
			ObjectType:1		String	'Type'
			PowerFactor		Real	'PFs: Power factor of static load component'
			PowerFactor:1		Real	'PFel: Electronic load power factor'
			Selected		String	'Selected?'
			SOData		String	'Default Data Set'
			TSBShunt		Real	'Bss: Substation shunt capacitor susceptance, p.u.'
			TSDeviceStatus		String	'Device Status'
			TSdPdFreq		Real	'Pfrq: Frequency sensitivity factor for P'
			TSdQdFreq		Real	'Qfrq: Frequency sensitivity factor for Q'
			TSFbf		Real	'Fb: Fraction of feeder shunt capacitance at substation bus end'
			TSFrac		Real	'FmA: Motor A fraction of load P'
			TSFrac:1		Real	'FmB: Motor B fraction of load P'
			TSFrac:2		Real	'FmC: Motor C fraction of load P'
			TSFrac:3		Real	'FmD: Motor D fraction of load P'
			TSFrac:4		Real	'Fel: Electronic load fraction of load P'
			TSFrac:5		Real	'frcel : Fraction of electronic load that recovers from low voltage trip'
			TSFullSupport		String	'Fully Supported'
			TSMbase		Real	'Mbase'
			TSMotorA:1		Real	'(Type 3) LFma: Motor loading factor, (Type 1) LFma: Motor loading factor'
			TSMotorA:2		Real	'(Type 3) Rsa: Stator resistance, p.u., (Type 1) CompPFa: Power Factor'
			TSMotorA:3		Real	'(Type 3) Lsa: Synchronous reactance, p.u., (Type 1) Vstalla: Stall voltage, p.u.'
			TSMotorA:4		Real	'(Type 3) Lpa: Transient reactance, p.u., (Type 1) Rstalla: Stall resistance, p.u.'
			TSMotorA:5		Real	'(Type 3) Lppa: Subtransient reactance, p.u., (Type 1) Xstalla: Stall reactance, p.u.'
			TSMotorA:6		Real	'(Type 3) Tpoa: Transient open circuit time constant, sec., (Type 1) Tstalla: Stall time delay, sec.'
			TSMotorA:7		Real	'(Type 3) Tppoa: Subtransient open circuit time constant, sec., (Type 1) Frsta: Fraction of load that can restart after stalling'
			TSMotorA:8		Real	'(Type 3) Ha: Inertia constant, sec., (Type 1) Vrsta: Voltage at which restart can occur, p.u.'
			TSMotorA:9		Real	'(Type 3) Etrqa: Mechanical torque exponent, (Type 1) Trsta: Restart time delay, sec.'
			TSMotorA:10		Real	'(Type 3) Vtr1a: First low voltage trip level, p.u. V, (Type 1) Fuvra: Fraction of load with undervoltage relay protection'
			TSMotorA:11		Real	'(Type 3) Ttr1a: First low voltage trip delay time, sec., (Type 1) Vtr1a: First undervoltage trip level, p.u.'
			TSMotorA:12		Real	'(Type 3) Ftr1a: First low voltage trip fraction, (Type 1) Ttr1a: First undervoltage trip delay time, sec.'
			TSMotorA:13		Real	'(Type 3) Vrc1a: First low voltage reconnection level, p.u. V, (Type 1) Vtr2a: Second undervoltage trip level, p.u.'
			TSMotorA:14		Real	'(Type 3) Trc1a: First low voltage reconnection delay time, sec., (Type 1) Ttr2a: Second undervoltage trip delay time, sec.'
			TSMotorA:15		Real	'(Type 3) Vtr2a: Second low voltage trip level, p.u. V, (Type 1) Vc1offa: Contactor voltage at which tripping starts, p.u.'
			TSMotorA:16		Real	'(Type 3) Ttr2a: Second low voltage trip delay time, sec., (Type 1) Vc2offa: Contactor voltage at which tripping is complete, p.u.'
			TSMotorA:17		Real	'(Type 3) Ftr2a: Second low voltage trip fraction, (Type 1) Vc1ona: Contactor voltage at which reconnection is complete, p.u.'
			TSMotorA:18		Real	'(Type 3) Vrc2a: Second low voltage reconnection level, p.u. V, (Type 1) Vc2ona: Contactor voltage at which reconnection starts, p.u.'
			TSMotorA:19		Real	'(Type 3) Trc2a: Second low voltage reconnection time delay, sec., (Type 1) Ttha: Thermal time constant, sec.'
			TSMotorA:20		Real	'(Type 1) Th1ta: Thermal protection trip start level, p.u. temperature'
			TSMotorA:21		Real	'(Type 1) Th2ta: Thermal protection trip completion level, p.u. temperature'
			TSMotorA:22		Real	'(Type 1) Tva: Voltage measurement lag, sec.'
			TSMotorB:1		Real	'(Type 3) LFmb: Motor loading factor, (Type 1) LFmb: Motor loading factor'
			TSMotorB:2		Real	'(Type 3) Rsb: Stator resistance, p.u., (Type 1) CompPFb: Power Factor'
			TSMotorB:3		Real	'(Type 3) Lsb: Synchronous reactance, p.u., (Type 1) Vstallb: Stall voltage, p.u.'
			TSMotorB:4		Real	'(Type 3) Lpb: Transient reactance, p.u., (Type 1) Rstallb: Stall resistance, p.u.'
			TSMotorB:5		Real	'(Type 3) Lppb: Subtransient reactance, p.u., (Type 1) Xstallb: Stall reactance, p.u.'
			TSMotorB:6		Real	'(Type 3) Tpob: Transient open circuit time constant, sec., (Type 1) Tstallb: Stall time delay, sec.'
			TSMotorB:7		Real	'(Type 3) Tppob: Subtransient open circuit time constant, sec., (Type 1) Frstb: Fraction of load that can restart after stalling'
			TSMotorB:8		Real	'(Type 3) Hb: Inertia constant, sec., (Type 1) Vrstb: Voltage at which restart can occur, p.u.'
			TSMotorB:9		Real	'(Type 3) Etrqb: Mechanical torque exponent, (Type 1) Trstb: Restart time delay, sec.'
			TSMotorB:10		Real	'(Type 3) Vtr1b: First low voltage trip level, p.u. V, (Type 1) Fuvrb: Fraction of load with undervoltage relay protection'
			TSMotorB:11		Real	'(Type 3) Ttr1b: First low voltage trip delay time, sec., (Type 1) Vtr1b: First undervoltage trip level, p.u.'
			TSMotorB:12		Real	'(Type 3) Ftr1b: First low voltage trip fraction, (Type 1) Ttr1b: First undervoltage trip delay time, sec.'
			TSMotorB:13		Real	'(Type 3) Vrc1b: First low voltage reconnection level, p.u. V, (Type 1) Vtr2b: Second undervoltage trip level, p.u.'
			TSMotorB:14		Real	'(Type 3) Trc1b: First low voltage reconnection delay time, sec., (Type 1) Ttr2b: Second undervoltage trip delay time, sec.'
			TSMotorB:15		Real	'(Type 3) Vtr2b: Second low voltage trip level, p.u. V, (Type 1) Vc1offb: Contactor voltage at which tripping starts, p.u.'
			TSMotorB:16		Real	'(Type 3) Ttr2b: Second low voltage trip delay time, sec., (Type 1) Vc2offb: Contactor voltage at which tripping is complete, p.u.'
			TSMotorB:17		Real	'(Type 3) Ftr2b: Second low voltage trip fraction, (Type 1) Vc1onb: Contactor voltage at which reconnection is complete, p.u.'
			TSMotorB:18		Real	'(Type 3) Vrc2b: Second low voltage reconnection level, p.u. V, (Type 1) Vc2onb: Contactor voltage at which reconnection starts, p.u.'
